Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
KERRY GROUP PLC;EUR;13733000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE0004906560;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;7.0;6.0;14.0;0.326;0.24;;;0.429;3235078.0;
KINGSPAN GROUP PLC;EUR;14834000000.0;662.0541 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Dublin;IE0004927939;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;;4.0;11.0;0.21;0.31;;;0.364;836500.0;
MALIN CORPORATION PLC;EUR;105312000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BVGC3741;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;2.0;6.0;;;;;0.333;;
MINCON GROUP PLC;EUR;104111000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BD64C665;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;2.0;8.0;;;;;0.25;;
ORIGIN ENTERPRISES PLC;EUR;349602000.0;56,791.5952 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1WV4493;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;3.0;9.0;0.27;0.25;;;0.333;12314.0;
OVOCA BIO PLC;EUR;530753.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B4XVDC01;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;2.0;4.0;;;;;0.5;;
PERMANENT TSB GROUP HOLDINGS PLC;EUR;862031000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00BWB8X525;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;;;;;;;
RYANAIR HOLDINGS PLC;EUR;23428000000.0;824.8105 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Dublin;IE00BYTBXV33;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;;5.0;13.0;0.42;;;;0.385;;
SMURFIT KAPPA GROUP PLC;EUR;10653000000.0;;Stock;Ordinary Shares;Euronext Dublin;IE00B1RR8406;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;;;;;;;;;;
UNIPHAR PLC;EUR;707110000.0;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BJ5FQX74;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201015, Drug Retailers;;;;;;;;;;
AKER BP;NOK;179874000000.0;2,572.4275 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0010345853;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101010, Oil: Crude Producers;23.3;4.0;12.0;;;;;0.333;5084936.846;
BW LPG;NOK;20020000000.0;;Stock;Ordinary Shares;Oslo Børs;BMG173841013;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;10.6;3.0;5.0;0.4;0.17;;;0.6;4592559.23;0.12
