Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
NORSK HYDRO;NOK;145.620B;;;;;17,8 (low risk);117.16 Ton / Million (NOK); %;;Stock;Ordinary Shares;Oslo Børs;NO0005052605;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102035, Aluminum
NORWEGIAN AIR SHUTTLE;NOK;16.010B;B-;;;;;0.12 Ton / Thousand (NOK);43 %;;Stock;Ordinary Shares;Oslo Børs;NO0010196140;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines
ORKLA;NOK;79.163B;;;;;;32.57 Ton / Million (NOK);46.5 %;;Stock;Ordinary Shares;Oslo Børs;NO0003733800;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products
PGS;NOK;8.397B;;;;;;0 Kiloton / Thousand (USD);30 %;;Stock;Ordinary Shares;Oslo Børs;NO0010199151;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services
SALMAR;NOK;86.948B;;;;;;14.3287 Ton / Million (NOK);28 %;;Stock;Ordinary Shares;Oslo Børs;NO0010310956;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations
STOREBRAND;NOK;44.222B;;;;;;0.0074 Ton / Million (NOK);46 %;;Stock;Ordinary Shares;Oslo Børs;NO0003053605;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance
SUBSEA 7;NOK;54.164B;;;;;;152.0874 Ton / Million (USD);17 %;8.2 %;Stock;Ordinary Shares;Oslo Børs;LU0075646355;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services
TELENOR;NOK;168.495B;;;;;;0.01 Kiloton / Million (NOK);38 %;;Stock;Ordinary Shares;Oslo Børs;NO0010063308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
TGS ASA;NOK;17.388B;;;;;;0.07 Ton / Thousand (USD);54.55 %;;Stock;Ordinary Shares;Oslo Børs;NO0003078800;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services
TOMRA SYSTEMS;NOK;43.577B;;;;;;29.57 Ton / Million (NOK);23 %;;Stock;Ordinary Shares;Oslo Børs;NO0012470089;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial
VÅR ENERGI ASA;NOK;93.565B;;;;;;735.2741 Ton / Million (USD);25.47 %;;Stock;Ordinary Shares;Oslo Børs;NO0011202772;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101015, Offshore Drilling and Other Services
YARA INTERNATIONAL;NOK;83.550B;;;;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010208051;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201015, Fertilizers
A2A;EUR;5.295B;;;;;;990.9946 Ton / Million (EUR);19 %;8.9 %;Stock;Ordinary Shares;Euronext Milan;IT0001233417;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity
AMPLIFON;EUR;6.980B;;;;;;17.13 Ton / Million (EUR);73.3 %;;Stock;Ordinary Shares;Euronext Milan;IT0004056880;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies
AZIMUT;EUR;3.457B;;;;;;;46 %;;Stock;Ordinary Shares;Euronext Milan;IT0003261697;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians
BANCA GENERALI;EUR;4.069B;;;;;;;49 %;;Stock;Ordinary Shares;Euronext Milan;IT0001031084;30, Financials;3010, Banks;301010, Banks;30101010, Banks
BANCA MEDIOLANUM;EUR;7.443B;;;;;;;49.5 %;;Stock;Ordinary Shares;Euronext Milan;IT0004776628;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services
BANCO BPM;EUR;9.470B;;;;;;;46.1 %;;Stock;Ordinary Shares;Euronext Milan;IT0005218380;30, Financials;3010, Banks;301010, Banks;30101010, Banks
