Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Rate of resignation in %
PERMANENT TSB GROUP HOLDINGS PLC;EUR;829295000.0;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BWB8X525;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;
RYANAIR HOLDINGS PLC;EUR;23086000000.0;;;;;23.4;Stock;Ordinary Shares;Euronext Dublin;IE00BYTBXV33;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;882.5472350000001;0.42;
SMURFIT KAPPA GROUP PLC;EUR;10553000000.0;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00B1RR8406;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;;;
UNIPHAR PLC;EUR;709840000.0;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BJ5FQX74;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201015, Drug Retailers;;;
AKER BP;NOK;181074000000.0;A-;;;;34.7;Stock;Ordinary Shares;Oslo Børs;NO0010345853;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101010, Oil: Crude Producers;2572.4275;;
BW LPG;NOK;20230000000.0;C;;;;Low Risk;Stock;Ordinary Shares;Oslo Børs;BMG173841013;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.4;0.12
DNB BANK ASA;NOK;327497000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010161896;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.462;
EQUINOR;NOK;906187000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010096985;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;2061.02;0.32;
FRONTLINE PLC;NOK;59997000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;CY0200352116;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.2632;
GOLDEN OCEAN GROUP;NOK;29340000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;BMG396372051;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;622.17;0.342;
HAFNIA LIMITED;NOK;42453000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;BMG4233B1090;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.0536;
HOEGH AUTOLINERS ASA;NOK;18505000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0011082075;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;776.2357;0.46;0.0785
KONGSBERG GRUPPEN;NOK;134491999999.99998;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003043309;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203000, Diversified Industrials;18.824260000000002;0.21600000000000003;0.053
MOWI;NOK;96467000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003054108;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;225.6737;0.4;
MPC CONTAINER SHIPS;NOK;5930000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010791353;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;2637.81;0.364;
NEL;NOK;7772000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010081235;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;0.14408939999999998;0.205;
NORDIC SEMICONDUCTOR;NOK;17582000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003055501;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;28.36;0.171;
NORSK HYDRO;NOK;145620000000.0;;;;;17,8 (low risk);Stock;Ordinary Shares;Oslo Børs;NO0005052605;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102035, Aluminum;10.66156;;
NORWEGIAN AIR SHUTTLE;NOK;16010000000.000002;B-;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010196140;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;0.01092;0.43;
ORKLA;NOK;79163000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003733800;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;2.96387;0.465;
PGS;NOK;8397000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010199151;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;0.0;0.3;
SALMAR;NOK;86948000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010310956;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;1.3039117;0.28;
STOREBRAND;NOK;44222000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003053605;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;0.0006734;0.46;
SUBSEA 7;NOK;54164000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;LU0075646355;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;152.0874;0.17;0.08199999999999999
TELENOR;NOK;168495000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010063308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;0.00091;0.38;
